,Дата операции,date,Номер карты,Статус,Сумма операции,Валюта операции,Сумма платежа,Валюта платежа,Кэшбэк,category,MCC,description,Бонусы (включая кэшбэк),Округление на инвесткопилку,Сумма операции с округлением,amount,last_digits,total_spent,cashback
119,09.12.2021 15:49:26,09.12.2021,*7197,OK,-90.1,RUB,-90.1,RUB,0.0,Супермаркеты,5411.0,Колхоз,1,0,90.1,90.1,7197,90.1,1.0
120,09.12.2021 15:40:39,09.12.2021,*7197,OK,-87.0,RUB,-87.0,RUB,0.0,Дом и ремонт,5211.0,Строитель,1,0,87.0,87.0,7197,87.0,1.0
121,09.12.2021 15:36:12,09.12.2021,*7197,OK,-268.0,RUB,-268.0,RUB,0.0,Фастфуд,5814.0,UPPETIT,5,0,268.0,268.0,7197,268.0,8.0
122,09.12.2021 11:44:19,09.12.2021,*7197,OK,-143.0,RUB,-143.0,RUB,0.0,Фастфуд,5814.0,Impulse coffee,2,0,143.0,143.0,7197,143.0,3.0
123,09.12.2021 09:27:38,09.12.2021,*7197,OK,-65.9,RUB,-65.9,RUB,0.0,Супермаркеты,5411.0,Перекрёсток,1,0,65.9,65.9,7197,65.9,1.0
124,09.12.2021 08:50:35,09.12.2021,*5091,OK,-525.0,RUB,-525.0,RUB,0.0,Одежда и обувь,5651.0,WILDBERRIES,5,0,525.0,525.0,5091,525.0,10.0
125,09.12.2021 01:07:48,09.12.2021,*4556,OK,-100.0,RUB,-100.0,RUB,0.0,Переводы,6012.0,Перевод на карту,0,0,100.0,100.0,4556,100.0,1.0
126,08.12.2021 17:45:26,08.12.2021,*7197,OK,-50.0,RUB,-50.0,RUB,0.0,Фастфуд,5814.0,Piterskij Ponchik,1,0,50.0,50.0,7197,50.0,1.0
127,08.12.2021 15:56:35,08.12.2021,*7197,OK,-135.0,RUB,-135.0,RUB,0.0,Фастфуд,5814.0,Impulse coffee,2,0,135.0,135.0,7197,135.0,3.0
128,08.12.2021 14:04:56,08.12.2021,*7197,OK,-56.0,RUB,-56.0,RUB,0.0,Фастфуд,5814.0,Rumyanyj Khleb,1,0,56.0,56.0,7197,56.0,1.0
129,08.12.2021 10:40:11,08.12.2021,*7197,OK,-10.0,RUB,-10.0,RUB,0.0,НКО,8398.0,ovdinfo.org,0,0,10.0,10.0,7197,10.0,0.0
130,07.12.2021 18:27:43,07.12.2021,*5091,OK,-22.53,RUB,-22.53,RUB,0.0,Каршеринг,7512.0,Ситидрайв,1,0,22.53,22.53,5091,22.53,1.0
131,07.12.2021 18:14:16,07.12.2021,*7197,OK,-83.0,RUB,-83.0,RUB,0.0,Фастфуд,5814.0,McDonald's,1,0,83.0,83.0,7197,83.0,1.0
132,07.12.2021 17:48:57,07.12.2021,*7197,OK,-80.0,RUB,-80.0,RUB,0.0,Фастфуд,5814.0,IP Nelikaev,1,0,80.0,80.0,7197,80.0,1.0
133,07.12.2021 17:25:47,07.12.2021,*7197,OK,-41.0,RUB,-41.0,RUB,0.0,Супермаркеты,5411.0,Перекрёсток,0,0,41.0,41.0,7197,41.0,0.0
134,07.12.2021 14:02:27,07.12.2021,*4556,OK,-837.9,RUB,-837.9,RUB,41.0,Ж/д билеты,4112.0,РЖД,41,0,837.9,837.9,4556,837.9,49.0
135,07.12.2021 00:06:02,07.12.2021,*5091,OK,-94.49,RUB,-94.49,RUB,0.0,Каршеринг,7512.0,Ситидрайв,4,0,94.49,94.49,5091,94.49,4.0
136,06.12.2021 18:24:31,06.12.2021,*5091,OK,-462.97,RUB,-462.97,RUB,0.0,Каршеринг,7512.0,Ситидрайв,23,0,462.97,462.97,5091,462.97,28.0
137,06.12.2021 17:37:10,06.12.2021,*7197,OK,-160.0,RUB,-160.0,RUB,0.0,Канцтовары,5943.0,Mitrankov M.V.,3,0,160.0,160.0,7197,160.0,5.0
138,06.12.2021 17:36:08,06.12.2021,*5091,OK,-7.13,RUB,-7.13,RUB,0.0,Каршеринг,7512.0,Ситидрайв,0,0,7.13,7.13,5091,7.13,0.0
139,06.12.2021 16:22:13,06.12.2021,*7197,OK,-179.77,RUB,-179.77,RUB,0.0,Супермаркеты,5411.0,Дикси,3,0,179.77,179.77,7197,179.77,5.0
